"title","url","slug","description","headline","headlinedescription","price","brand_name","isdiscounted","offer","isactive","availableforsale","first_image_url"
"Sustainably Lit.","https://www.onegoodobject.com/products/poco-circle-lamp","onegoodobject-poco-circle-lamp","<div class=""""product-description"""">
  <h2>Poco Circle Lamp</h2>

  <p><strong>Overview:</strong> The <strong>Poco Circle Lamp</strong> is a perfect blend of simplicity and funky elegance. This minimalist wired designer light stands out with its clean lines and playful yet refined style, making it a striking addition to any modern space. Ideal for those who appreciate minimalist design with a hint of flair, it works beautifully as a side table lamp, adding a touch of sophistication to your living room or bedroom.</p>

  <p><strong>Key Features:</strong></p>
  <ul>
    <li>Minimalist wired designer lamp</li>
    <li>Clean lines with playful, refined style</li>
    <li>Perfect as a side table lamp</li>
    <li>Sleek E14 LED bulb holder</li>
    <li>Striking accent for modern home decor</li>
  </ul>

  <p><strong>Perfect For:</strong> Adding elegance and style to living rooms, bedrooms, or any modern interior space that appreciates minimalist design with a hint of flair.</p>
</div>","3D Printed Poco Circle Lamp","Poco Circle Lamp adds quiet sophistication to any side table—bedroom or living. Its sleek E14 LED base makes it the perfect finishing touch to your modern decor.","{""code"":""INR"",""amount"":""1950"",""symbol"":""₹""}","One Good Object",True,"{""type"":""PERCENT"",""value"":""15"",""symbol"":""%"",""code"":""OGOTOASTD""}",True,True,"https://assets.toastd.in/onegoodobject/onegoodobject-poco-circle-lamp/images/Poco_circle_black_side_view_lit.webp"
"Soulshoe – White Deadlift Shoe for Powerlifters","https://www.soulgrip.in/products/sgxpd-soulshoe-pro-white","sgxpd-soulshoe-pro-white","<div>
  <p><strong>KEY HIGHLIGHTS</strong></p>
  <ul>
    <li><strong>Engineered for Power:</strong> Flat-sole deadlift shoe designed to maximise ground contact and stability.</li>
    <li><strong>Superior Grip:</strong> Enhances traction and force transfer for efficient heavy lifting.</li>
    <li><strong>Wide Toe Box:</strong> Allows natural foot spread for better grounding during deadlifts, squats, and strength movements.</li>
    <li><strong>Zero Heel Elevation:</strong> Keeps you fully grounded for optimal force distribution and control.</li>
    <li><strong>Perfect For:</strong> Powerlifters, bodybuilders, strength athletes, and serious lifters.</li>
    <li><strong>Purpose-Built Design:</strong> Crafted to improve stability, safety, and platform performance.</li>
  </ul>
</div>","Soulshoe is White","A stability-boosting, flat-sole deadlift shoe engineered for serious lifters seeking maximum control, grip, and ground connection.","{""code"":""INR"",""amount"":""3398"",""symbol"":""₹""}","gifting",False,"{""type"":""PERCENT"",""value"":"""",""symbol"":"""",""code"":""""}",True,True,"https://assets.toastd.in/gifting/sgxpd-soulshoe-pro-white/images/1.webp"
"Refined Like Gold. Tough Like Grit.","https://grytt.in/products/frosted-pressing-hoop-cuff-gold-non-pierced","grytt-frosted-pressing-hoop-cuff-gold-non-pierced","<div>
  <p><strong>Key Features:</strong></p>
  <ul>
    <li><strong>Material:</strong> 316L Recycled Stainless Steel with 18K Gold Vermeil</li>
    <li><strong>Diameter:</strong> 11MM</li>
    <li><strong>Design:</strong> Frosted texture with a clean, industrial edge</li>
    <li><strong>Type:</strong> Non-pierced hoop/cuff – fits comfortably without piercing</li>
    <li><strong>Finish:</strong> Matte frosted gold for a refined yet rugged look</li>
    <li><strong>Durability:</strong> Waterproof and anti-tarnish, built for everyday wear</li>
    <li><strong>Quantity:</strong> 1 Pc per unit (not a pair)</li>
    <li><strong>Comfort:</strong> Lightweight, non-irritating, and hypoallergenic</li>
  </ul>
  <p><strong>Shipping:</strong> We take 24 hours to process and dispatch your order and hand it over to the courier. Delivery typically takes 1–7 working days depending on your location. During festive or high-demand periods, dispatch may extend to 3–4 working days.</p>
</div>","FROSTED PRESSING HOOP/CUFF (GOLD NON-PIERCED)","The Frosted Pressing Hoop/Cuff (Gold) embodies bold simplicity. Its frosted texture and sharp lines strike a perfect balance between industrial grit and refined style. Made from 316L recycled stainless steel with 18K gold vermeil, this non-pierced piece is waterproof, anti-tarnish, and designed to outlast trends — for those who lead with quiet confidence and relentless grit.","{""code"":""INR"",""amount"":""399"",""symbol"":""₹""}","Grytt",True,"{""type"":""PERCENT"",""value"":""10"",""symbol"":""%"",""code"":""TOASTD10""}",True,True,"https://assets.toastd.in/grytt/grytt-frosted-pressing-hoop-cuff-gold-non-pierced/images/IMG-1136_1600x.webp"
"You’re not looking for Furniture. You’re looking for meaning.","https://wearenotice.com/collections/all-products/products/spring-table","we-are-notice-spring-table","<div>
  <p><strong>Key Highlights – Spring Table by WeAreNotice</strong></p>
  <ul>
    <li><strong>Unapologetically Bold:</strong> Built to defy expectations with a sculptural, tension-filled form.</li>
    <li><strong>Material:</strong> Crafted from 2mm mild steel sheet and hand-bent steel pipes for a raw industrial feel.</li>
    <li><strong>Handmade Craftsmanship:</strong> Each piece features unique, asymmetrical curves - no two tables are exactly alike.</li>
    <li><strong>Multi-Purpose:</strong> Functions as a table, display stand, or artistic object.</li>
    <li><strong>Weight:</strong> Hefty and grounded at 6.90 kg for exceptional stability.</li>
    <li><strong>Dimensions:</strong> 35.4 cm (L) × 37.2 cm (W) × 48.63 cm (H)</li>
    <li><strong>Care Instructions:</strong> Wipe with a soft cloth. Avoid abrasives to maintain finish. Indoor use only.</li>
    <li><strong>Origin:</strong> Proudly handmade in India by skilled artisans.</li>
  </ul>
</div>","SPRING TABLE","Use it as a table, a stand, a threat. It’ll hold your keys or your karma.
Your incense or your impulse.","{""code"":""INR"",""amount"":""7499"",""symbol"":""₹""}","Wearenotice",True,"{""type"":""PERCENT"",""value"":""10"",""symbol"":""%"",""code"":""TOASTD10""}",True,True,"https://assets.toastd.in/we-are-notice/we-are-notice-spring-table/images/notice_table_1.webp"
"Wear the Hustle. Own the Groove.","https://thgc.club/products/future-star-embroidery-text-black-baseball-cap","thgc-future-star-embroidery-text-black-baseball-cap","<div>
  <h2 class=""product-heading"">The Cap That Says You're Going Places</h2>
  <p class=""product-intro"">Introducing the <strong>Future Star Embroidery Text Cap</strong>—a bold blend of style and ambition. Designed for dreamers, doers, and rising stars, this black baseball cap turns a simple accessory into a powerful statement of intent.</p>
  <h3 class=""product-subheading"">Product Features:</h3>
  <ul class=""product-features"">
    <li>🌟 <strong>“Future” Embroidered Text:</strong> Boldly stitched with a shining star accent for standout appeal</li>
    <li>🧢 <strong>Classic Baseball Style:</strong> Timeless silhouette with a structured curved brim</li>
    <li>💪 <strong>Durable Construction:</strong> Made with premium materials for long-lasting wear</li>
    <li>😌 <strong>Comfort First:</strong> Breathable fabric for all-day ease</li>
    <li>🔄 <strong>Adjustable Strap:</strong> Fits just right—every time</li>
    <li>🖤 <strong>Black Colorway:</strong> Sleek, versatile, and effortlessly cool</li>
    <li>🎯 <strong>Motivational Vibe:</strong> A wearable reminder to chase dreams and own your future</li>
  </ul>
  <p class=""product-closing"">Whether you're in the classroom, on stage, or paving your own path, the <strong>Future Star Cap</strong> is your go-to symbol of ambition and confidence. Wear your goals. Show your grit. Be the future.</p>
</div>","Future Star Embroidery Text - Black Baseball Cap","Introducing the Future Star Cap, where style meets aspiration in a striking blend of fashion and motivation.","{""code"":""INR"",""amount"":""779"",""symbol"":""₹""}","The Hustle Groove Co",True,"{""type"":""PERCENT"",""value"":""15"",""symbol"":""%"",""code"":""TOASTD15""}",True,True,"https://assets.toastd.in/thgc/thgc-future-star-embroidery-text-black-baseball-cap/images/thgc_black_1.webp"
"Engineered for Sleep. Designed for Life","https://www.pureflowtape.com/products/deep-sleep-mask-by-pureflow","pureflow-deep-sleep-mask","<div class=""product-description"">
  <h2>DEEP SLEEP MASK BY PUREFLOW</h2>

  <p><strong>Overview:</strong> Experience the true power of rest with the <strong>Deep Sleep Mask by PureFlow</strong> - engineered to help you achieve deep, restorative sleep within minutes. Crafted with <strong>premium ultra-soft velvety fabric</strong>, this mask completely blocks out light and creates the perfect environment for uninterrupted relaxation and rejuvenation.</p>

  <p><em>Instant Sleep. Deep Sleep in 5 Minutes.</em></p>

  <p><strong>Why You’ll Love It:</strong></p>
  <ul>
    <li>Blocks out 100% of external light for deeper, more restful sleep</li>
    <li>Made with <strong>premium ultra-soft velvety material</strong> that feels gentle on your skin</li>
    <li><strong>Hypoallergenic</strong> and <strong>anti-bacterial</strong> for long-lasting freshness</li>
    <li>Adjustable straps ensure a perfect, comfortable fit for all head sizes</li>
    <li>Ideal for <strong>bedtime, travel, meditation, or naps</strong></li>
  </ul>

  <p><strong>How to Use:</strong></p>
  <ul>
    <li>Gently place the sleep mask over your eyes.</li>
    <li>Adjust the straps so it fits snugly but comfortably, fully blocking out light.</li>
    <li>Wear while sleeping, resting, or meditating for deep, uninterrupted sleep.</li>
  </ul>

  <p><strong>Material:</strong></p>
  <ul>
    <li>Premium Ultra-Soft Velvety Fabric</li>
    <li>Hypoallergenic &amp; Anti-Bacterial</li>
  </ul>

  <p><strong>Shipping:</strong> All orders are processed within 1–2 business days and delivered within 7 working days across India.</p>
</div>","Deep Sleep Mask by PureFlow","Block out the world. Drift into deep, uninterrupted sleep in minutes.","{""code"":""INR"",""amount"":""799"",""symbol"":""₹""}","PureFlow",True,"{""type"":""PERCENT"",""value"":""10"",""symbol"":""%"",""code"":""TOASTD10""}",True,True,"https://assets.toastd.in/pureflow/pureflow-deep-sleep-mask/images/Generated_Image_August_29_2025_-_12_45AM.webp"
"Retro GameBox 500 Games in 1 | Classic Handheld Gaming Console | RetroGoods","https://theretrogoods.in/products/retro-500","retro-500","<section class=""product"" aria-labelledby=""product-title"">
  <h1 id=""product-title"">Retro GameBox 500 Games in 1 (Premium Quality) by RetroGoods</h1>

  <p class=""short-desc"">
    Relive the nostalgia of classic gaming with the <strong>Retro GameBox 500-in-1</strong> — a premium handheld console packed with 500 timeless games. Designed for both kids and adults, it’s the perfect blend of fun, learning, and entertainment — anytime, anywhere.
  </p>

  <div class=""product-details"">
    <h2>Key Features</h2>
    <ul>
      <li><strong>500 Built-in Classic Games:</strong> Play all your favorite retro titles instantly — no downloads or setup needed.</li>
      <li><strong>Kid-Friendly & Safe:</strong> Promotes focus and cognitive skills without the harmful screen time of smartphones.</li>
      <li><strong>Long Battery Life:</strong> Equipped with a <strong>1000mAh rechargeable battery</strong> for hours of uninterrupted gaming.</li>
      <li><strong>Connect to TV:</strong> Enjoy big-screen gameplay by connecting the console to your TV.</li>
      <li><strong>Multiplayer Ready:</strong> Supports external remotes for two-player fun with friends or family.</li>
      <li><strong>Portable Design:</strong> Lightweight (150g) and compact — take it wherever you go!</li>
    </ul>
  </div>

  <div class=""specifications"">
    <h2>Specifications</h2>
    <ul>
      <li><strong>Colors Available:</strong> Pink, Sky Blue</li>
      <li><strong>Games:</strong> 500 Built-in</li>
      <li><strong>Interface:</strong> USB</li>
      <li><strong>Battery:</strong> 1000mAh Rechargeable</li>
      <li><strong>Dimensions:</strong> 140 × 80 × 20 mm</li>
      <li><strong>Weight:</strong> 150g</li>
    </ul>
  </div>

  <div class=""product-note"">
    <p><small>Note: Game library may vary slightly. Best enjoyed as a fun, educational alternative to mobile gaming for kids.</small></p>
  </div>
</section>","Retro GameBox 500 Games in 1","Experience 500 timeless classics in one compact console - the Retro GameBox 500-in-1 by RetroGoods delivers nonstop nostalgia, brain-boosting fun, and family-friendly entertainment in premium quality.","{""code"":""INR"",""amount"":""1399"",""symbol"":""₹""}","gifting",False,"{""type"":""PERCENT"",""value"":"""",""symbol"":"""",""code"":""""}",True,True,"https://assets.toastd.in/gifting/retro-500/images/1.webp"
"You have 1 brain and 100 tabs open. Fix that","https://www.shenzation.co/products/daily-dock-kit-1","shenzation-daily-dock-kit","<div class=""""product-description"""">
  <h2>The Daily Dock Kit</h2>

  <p><strong>Overview:</strong> <strong>DailyDock</strong> is a streamlined productivity system and a practical, tactile tool that works alongside your digital setup. It empowers you to prioritize your key tasks and maintain focus on what’s most important, combining functionality with a sleek design.</p>

  <p><strong>What's Included:</strong></p>
  <ul>
    <li>1 Deck of 60 Daily Cards</li>
    <li>Printed on 230Gsm Card</li>
    <li>Dot grid pattern on back</li>
    <li>Solid Teak wood base</li>
    <li>Powder-coated steel divider</li>
    <li>Neodymium magnets</li>
    <li>Laser-engraved logo</li>
    <li>Daily Dock Dimensions: 15.88 x 9.02 x 3 cm</li>
    <li>Daily Card Dimensions: 7.62 x 12.7 cm</li>
  </ul>

  <p><strong>Perfect For:</strong> Organizing daily tasks, improving productivity, and adding a tactile, stylish tool to your workspace.</p>
</div>","To Do List Cards","With a handcrafted teak dock and 60 premium daily cards, it turns your desk into a mission control for getting things done.","{""code"":""INR"",""amount"":""1299"",""symbol"":""₹""}","Shenzation",True,"{""type"":""PERCENT"",""value"":""10"",""symbol"":""%"",""code"":""TOASTD10""}",True,True,"https://assets.toastd.in/shenzation/shenzation-daily-dock-kit/images/DailyDockKit_1.webp"
"Aero Long Sleeve with Thumb Hole – Dusty Fig","https://yamayoga.in/products/aero-long-sleeve-with-thumb-hole-icy-pink","aero-long-sleeve-with-thumb-hole-icy-pink","<div>
  <p><strong>KEY HIGHLIGHTS</strong></p>
  <ul>
    <li><strong>Snug Performance Fit:</strong> Designed with a tailored silhouette, crew neck, and long sleeves with thumb holes to keep everything in place during movement.</li>
    <li><strong>Ultra-Soft Aeroyama Fabric:</strong> Made with premium micromodal fibres blended with spandex for unmatched softness, stretch, and shape retention.</li>
    <li><strong>Moisture-Wicking:</strong> High-performance material absorbs moisture efficiently to keep you cool, dry, and comfortable.</li>
    <li><strong>Breathable & Lightweight:</strong> Ideal for yoga, travel, layering, and temperature transitions throughout the day.</li>
    <li><strong>Durable Construction:</strong> High-quality fibres engineered for longevity and resistance to wear and tear.</li>
    <li><strong>Material:</strong> 88% micromodal, 12% spandex.</li>
    <li><strong>Weight:</strong> Lightweight, second-skin feel for unrestricted movement.</li>
    <li><strong>Care Instructions:</strong> Wash with mild detergent in cold water, avoid softeners, wash with soft garments, and lay flat to dry.</li>
  </ul>
</div>","Aero Long Sleeve with Thumb Hole – Dusty Fig","A luxe, lightweight long sleeve crafted with aeroyama micromodal for unmatched softness, breathability, and performance—perfect for yoga, travel, and everyday movement.","{""code"":""INR"",""amount"":""1999"",""symbol"":""₹""}","gifting",False,"{""type"":""PERCENT"",""value"":"""",""symbol"":"""",""code"":""""}",True,True,"https://assets.toastd.in/gifting/aero-long-sleeve-with-thumb-hole-icy-pink/images/6.webp"
"Classic Pretzel Glow-Up","https://atomeats.com/products/pretzel-variety-pack-by-atom-eats-salted-pretzels-knots-and-sticks-dark-milk-and-white-choco-pretzels","atomeats-pretzel-variety-pack","<div class=""""product-description"""">
  <h2>Pretzel Variety Pack - 30g x 5 Packs</h2>

  <p><strong>Overview:</strong> Finding the perfect balance between sweet and salty can be tricky—but we’ve done the work for you! This combo pack brings together everything crunchy, munchy, sweet, and savoury. If you love pretzels, there’s no reason for this combo not to be in your cart.</p>

  <p><strong>This Combo Contains:</strong></p>
  <ul>
    <li>3 x Dark Chocolate Pretzel, 30g</li>
    <li>3 x Milk Chocolate Pretzel, 30g</li>
    <li>3 x White Chocolate Pretzel, 30g</li>
    <li>3 x Salted Pretzel Knots, 30g</li>
    <li>3 x Salted Pretzel Sticks, 30g</li>
  </ul>

  <p><strong>Perfect For:</strong> Snack boards, sharing with friends, or indulging in a variety of sweet and salty treats at home.</p>
</div>","AtomEats Pretzel Variety Pack","30g x 5 Packs of Different Flavored Pretzels.","{""code"":""INR"",""amount"":""550"",""symbol"":""₹""}","Atom Eats",True,"{""type"":""PERCENT"",""value"":""10"",""symbol"":""%"",""code"":""TOASTD10""}",True,True,"https://assets.toastd.in/atomeats/atomeats-pretzel-variety-pack/images/AtomPDPWebsite_PretzelValuepackof5-5typesofpretzels_4850f4b0-c71c-40d7-aa63-56249b452b12.webp"
"Pure Driving Bliss Combo | Bombay Musk Luxury Car Perfume (Set of 2) | Organic & Alcohol-Free","https://bombaymusk.com/products/pure-driving-bliss-combo","pure-driving-bliss-combo","<section class=""product"" aria-labelledby=""product-title"">
  <h1 id=""product-title"">Pure Driving Bliss Combo | Bombay Musk Luxury Car Perfume</h1>

  <p class=""short-desc"">
    Indulge in the ultimate driving experience with the <strong>Pure Driving Bliss Combo</strong> by <strong>Bombay Musk</strong> — featuring two premium, alcohol-free luxury car perfumes crafted to elevate every journey. Designed with organic ingredients and essential oils, these fragrances create a soothing, long-lasting ambiance inside your car.
  </p>

  <div class=""product-details"">
    <h2>What’s Inside</h2>
    <ul>
      <li><strong>Cool Water (30ML):</strong> Crisp, aquatic, and refreshing — perfect for calm, long drives.</li>
      <li><strong>Citrus (30ML):</strong> Bright, zesty, and energizing — ideal for daytime use.</li>
      <li><strong>Free Magic Charcoal (worth ₹299):</strong> Enhances air purification for a cleaner cabin atmosphere.</li>
    </ul>
  </div>

  <div class=""ingredients"">
    <h2>Ingredients</h2>
    <p>Fragrance Oils, Essential Oils, Water, Naturally Occurring Preservatives.</p>
  </div>

  <div class=""product-note"">
    <p><small>Note: 100% organic and cruelty-free. Ideal for daily use and gifting to car enthusiasts.</small></p>
  </div>
</section>","Pure Driving Bliss Combo","Drive in pure luxury with the Bombay Musk Pure Driving Bliss Combo, featuring two organic, alcohol-free car perfumes - Cool Water and Citrus — for lasting freshness, comfort, and sophistication on every ride.","{""code"":""INR"",""amount"":""1399"",""symbol"":""₹""}","gifting",False,"{""type"":""PERCENT"",""value"":"""",""symbol"":"""",""code"":""""}",True,True,"https://assets.toastd.in/gifting/pure-driving-bliss-combo/images/1.webp"
"Cherry Charm = Bag Upgrade.","https://shopguts.co/products/cherry-bag-charm","shopgutsco-cherry-bag-charm","<div class=""""product-description"""">
  <h2>Cherry Bag Charm</h2>

  <p><strong>Overview:</strong> The <strong>Cherry Bag Charm</strong> is crafted with premium <strong>316L Stainless Steel</strong> and features <strong>PVD plating</strong> for a long-lasting shine. Perfect for adding a stylish and durable accent to your bags.</p>

  <p><strong>Key Features:</strong></p>
  <ul>
    <li>100% Tarnish-Free — No fading, no rust</li>
    <li>Sweatproof &amp; Waterproof — Wear it every day, everywhere!</li>
    <li>Hypoallergenic — Safe for even the most sensitive skin</li>
    <li>Premium 316L Stainless Steel construction with PVD plating</li>
  </ul>

  <p><strong>Perfect For:</strong> Adding a chic and durable charm to handbags, backpacks, or as a stylish gift for yourself or loved ones.</p>
</div>","Cherry Bag Charm","Get your hands on red cherry aesthetic charm bag that goes with every outfit.","{""code"":""INR"",""amount"":""899"",""symbol"":""₹""}","Guts Co",True,"{""type"":""PERCENT"",""value"":""10"",""symbol"":""%"",""code"":""TOASTD10""}",True,True,"https://assets.toastd.in/gutsco/shopgutsco-cherry-bag-charm/images/guts_co_photo_1.webp"
"One Sip and Schweppes is history.","https://soberandco.in/products/zero-sugar-ginger-ale-natural-ginger-zero-calories?variant=43763621986477","sober-and-co-zero-sugar-ginger-ale","<div class=""""product-description"""">
  <h2>Zero Sugar Ginger Ale: Natural Ginger, Zero Guilt!</h2>

  <p><strong>Tagline:</strong> Refresh your senses with India’s first zero-calorie Ginger Ale — crafted with real ginger and a splash of kaffir lime for a zesty finish.</p>

  <p><strong>Product Snapshot:</strong> Each sip delivers a lively dance of bold ginger, tangy lime, and sparkling bubbles — all without the calories. Perfect straight from the can or as a guilt-free mixer for cocktails.</p>

  <p><strong>Key Highlights:</strong></p>
  <ul>
    <li>Zero sugar • Zero calories</li>
    <li>Made with real ginger</li>
    <li>Hint of kaffir lime for a zesty finish</li>
    <li>Lightly carbonated, crisp bubbles</li>
    <li>Great on its own or as a mixer</li>
  </ul>

  <p><strong>Flavor Profile:</strong> Spicy ginger upfront, a bright citrusy lift from kaffir lime, finishing clean with refreshing effervescence.</p>

  <p><strong>Serve Suggestions:</strong></p>
  <ul>
    <li>Serve chilled straight from the can.</li>
    <li>Use as a crisp, sugar-free mixer for cocktails and mocktails.</li>
    <li>Pair with light seafood, salads, or spicy snacks.</li>
  </ul>

  <p><strong>Why You’ll Love It:</strong> All the bold ginger flavour you want with zero guilt - a modern, refreshing alternative to sugary sodas.</p>
</div>","Zero Sugar Ginger Ale: Natural Ginger, Zero Guilt!","Sober’s Zero Sugar Ginger Ale is India’s first zero-calorie ginger ale, made with real ginger and a punch of kaffir lime.","{""code"":""INR"",""amount"":""360"",""symbol"":""₹""}","Sober & Co",True,"{""type"":""PERCENT"",""value"":""20"",""symbol"":""%"",""code"":""TOASTD20""}",True,True,"https://assets.toastd.in/sober-and-co/sober-and-co-zero-sugar-ginger-ale/images/sober_ale_1.webp"
"Pinterest Mood Board IRL","https://kitsters.in/products/diy-texture-painting-kit?_pos=1&_sid=8b9c1b760&_ss=r","kitsters-texture-painting-kit","<div class=""""product-description"""">
  <h2>DIY Texture Painting Kit</h2>

  <p><strong>Overview:</strong> Discover the joy of creating stunning, textured artworks with our <strong>DIY Texture Painting Kit</strong>. Perfect for both beginners and experienced artists, this kit makes it easy to craft beautiful paintings with a unique, textured finish.</p>

  <p><strong>What's Included:</strong></p>
  <ul>
    <li>1 Messy Mat</li>
    <li>White Cement</li>
    <li>2 Canvases (6x6 inch)</li>
    <li>Texture Tools</li>
    <li>1 Palette Knife</li>
    <li>6 Acrylic Paints</li>
    <li>4 Glue Tubes</li>
    <li>3 Paper Cups</li>
    <li>3 Wooden Spoons</li>
    <li>2 Easels</li>
  </ul>

  <p><strong>Perfect For:</strong> Art enthusiasts, beginners, and anyone looking to explore creativity through textured painting projects.</p>
</div>","DIY Texture Painting Kit","Perfect for both beginners and experienced artists, this kit makes it easy to craft beautiful paintings with a unique, textured finish.
","{""code"":""INR"",""amount"":""1499"",""symbol"":""₹""}","Kitsters",True,"{""type"":""PERCENT"",""value"":""15"",""symbol"":""%"",""code"":""TOASTD15""}",True,True,"https://assets.toastd.in/kitsters/kitstersdiy-texture-painting-kit/images/kitsters_texture_1.webp"
"Hollow Knight Controller Stand for Xbox & Playstation","https://polyparadise.in/product/hollow-knight-controller-stand-xbox-ps5/","hollow-knight-controller-stand-xbox-ps5","<div>
  <p><strong>KEY HIGHLIGHTS</strong></p>
  <ul>
    <li><strong>Universal Compatibility:</strong> Designed to fit both Xbox and PlayStation 5 controllers for a versatile gaming setup.</li>
    <li><strong>Minimalist Design:</strong> A sleek, space-saving holder that enhances your gaming space while keeping controllers organized.</li>
    <li><strong>Durable Build:</strong> Crafted from high-quality materials ensuring long-lasting use and stability.</li>
    <li><strong>Smart Cable Management:</strong> The hollow base design prevents cable clutter and keeps your setup tidy.</li>
    <li><strong>Display Ready:</strong> Doubles as a collectible showcase piece inspired by Hollow Knight aesthetics.</li>
    <li><strong>Fan Made Item:</strong> This is a fan-made product, not officially affiliated with Hollow Knight.</li>
    <li><strong>Perfect Gift:</strong> Ideal for gamers who appreciate clean design and functional decor.</li>
  </ul>
</div>","Hollow Knight Controller Stand for Xbox & Playstation","Keep your Xbox or PS5 controllers organized with the Hollow Knight Controller Stand — a durable, minimalist stand designed for style, stability, and fandom flair.","{""code"":""INR"",""amount"":""649"",""symbol"":""₹""}","gifting",True,"{""type"":""PERCENT"",""value"":"""",""symbol"":"""",""code"":""""}",True,True,"https://assets.toastd.in/gifting/hollow-knight-controller-stand-xbox-ps5/images/2.webp"
"Hack to get Likes on your Instagram story","https://www.reawakentheory.com/products/vinyl-records-tv-girl","reawakentheory-vinyl-records-tv-girl","<div class=""product-description"">
  <h2>VINYL RECORDS - TV GIRL</h2>
  <p><strong>Overview:</strong> A dreamy, vintage-inspired decor set featuring repurposed 12-inch vinyl records from TV Girl’s most beloved albums. Perfect for indie aesthetics, retro setups, and soft grunge decor themes. These vinyls are exclusively for <strong>wall decoration</strong> and are non-playable.</p>
  <h3>Albums Included</h3>
  <ul>
    <li>French Exit</li>
    <li>Who Really Cares</li>
    <li>Death of a Party Girl</li>
  </ul>
  <p>Each vinyl is sourced in excellent used condition. Light surface scratches may be visible, adding a touch of vintage authenticity.</p>
  <p><strong>Note:</strong> These vinyl records are strictly meant for decor and cannot be played.</p>
</div>","VINYL RECORDS - TV GIRL","Indie dream-pop classics turned into aesthetic wall vinyl decor.","{""code"":""INR"",""amount"":""1499"",""symbol"":""₹""}","Reawaken Theory",True,"{""type"":""PERCENT"",""value"":""5"",""symbol"":""%"",""code"":""TOASTD5""}",True,True,"https://assets.toastd.in/reawakentheory/reawakentheory-vinyl-records-tv-girl/images/1.webp"
"Sunshine in a Bottle","https://okami.life/products/asahi-the-sun","okami-life-asahi-the-sun","<div class=""product-description"">
  <h2><strong>Asahi - The Sun by Okami</strong></h2>
  <p><strong>Fragrance Type:</strong> Pure Parfum</p>
  <p><strong>Longevity:</strong> 8–10 hours</p>
  <p><strong>Fragrance Family:</strong> Fresh-Floral</p>

  <h3><strong>Fragrance Notes:</strong></h3>
  <ul>
    <li><strong>Top:</strong> Hibiscus, Citruses, Passionfruit</li>
    <li><strong>Middle:</strong> Vanilla Orchid, Delphinium, Peony</li>
    <li><strong>Base:</strong> Pine Tree</li>
  </ul>

  <p>Asahi is <strong>calm, luminous, and quietly powerful</strong> — a radiant, fruity-floral blend perfect for <strong>summer days and fresh starts</strong>. Warm mandarin, soft woods, and uplifting notes make it your go-to for a light, elegant scent with lasting impact.</p>
</div>","Asahi -The Sun","Asahi – The Sun glows with warm mandarin, neroli, and soft woods. Radiant, bright, and full of new beginnings.","{""code"":""INR"",""amount"":""1499"",""symbol"":""₹""}","Okami",False,"{""type"":""PERCENT"",""value"":""15"",""symbol"":""%"",""code"":""TOASTD15""}",True,True,"https://assets.toastd.in/okami-life/okami-life-asahi-the-sun/images/okami_asahi_1.webp"
"GRAIN | Earth Grain – Walnut Wood Automatic Watch","https://samyakwatches.com/","samyak-earth-grain","<div>
  <h2>GRAIN | Earth Grain</h2>

  <p><strong>A timepiece rooted in rich walnut wood textures and bold contrasts, capturing timeless confidence in every detail.</strong></p>

  <p>The Earth Grain watch combines natural walnut wood with precision automatic movement. Designed for everyday wear, it delivers durability, style, and individuality in one elegant design.</p>

  <ul>
    <li><strong>Model:</strong> GT116-3</li>
    <li><strong>Material:</strong> Walnut Wood + Hardlex Mirror</li>
    <li><strong>Movement:</strong> Automatic Movement</li>
    <li><strong>Water Resistance:</strong> 3 ATM (Daily Life Waterproof)</li>
    <li><strong>Case Thickness:</strong> 11.8 mm</li>
    <li><strong>Case Diameter:</strong> 44 mm</li>
    <li><strong>Perimeter:</strong> 220 mm</li>
    <li><strong>Band Width:</strong> 22 mm</li>
  </ul>

  <p><strong>Care Instructions:</strong> Avoid prolonged exposure to water. Clean with a soft dry cloth to maintain the wood’s natural shine.</p>

  <p><strong>Who It's For:</strong></p>
  <ul>
    <li><strong>Professionals:</strong> A sophisticated accessory for the workplace.</li>
    <li><strong>Style Enthusiasts:</strong> Unique wood grain ensures no two watches are alike.</li>
    <li><strong>Everyday Wearers:</strong> Lightweight comfort with timeless appeal.</li>
  </ul>
</div>","GRAIN | Earth Grain","Rooted in rich walnut wood textures and bold contrasts, this timepiece captures timeless confidence in every detail.","{""code"":""INR"",""amount"":""15000"",""symbol"":""₹""}","Samyak",False,"{""type"":""PERCENT"",""value"":"""",""symbol"":"""",""code"":""""}",True,True,"https://assets.toastd.in/samyak/samyak-earth-grain/images/1.webp"
